projectId,fundingYear,C2B2_relevant,C2B2_keywords,C2B2_comment,projectTitleEn
2020-03122_Formas,2021,5,data; fish feed; legislation,,"A sidestream from egg production as a resource-smart, nutritious fish feed ingredient - a compilation of knowledge"
2019-00242_Vinnova,2019,0,sustainability,very unclear,Sustainable food production
2019-02091_Formas,2019,0,Arctic charr; hatcheries,,Temperature optimization of Arctic charr hatcheries
2020-01480_Vinnova,2020,0,seaweed farming; seafood products,,"Sustainable development for tank- and sea based seaweed cultivation, towards human foods"
2021-02404_Vinnova,2021,0,land-based fish farm,,Sustainable industrial production of fish using AI and advanced data analyses
2019-02316_Formas,2020,3,Arctic; multiple sectors; models; Canada; Alaska,,"MARAT: Marine Arctic Resilience, Adaptations and Transformations"
2021-03642_Vinnova,2021,5,data; multiple sectors; marine data; images; videos,,Ocean Data Factory Sweden
2020-01640_Vinnova,2020,0,aquaculture; land-based fish farm,,Fish in a box
2020-01668_VR,2020,0,animal welfare; lab study,,Best anaesthesia protocol for fish species and situation
2020-01129_Formas,2021,3,animal welfare; environmental factors; fishing; aquaculture,,Influence of environmental and host factors on the gut microbiome and lipid metabolism in salmonid fishes
2021-02919_Vinnova,2021,0,business case; fishing,,The Net
2019-00912_Formas,2020,1,aquaculture; animal welfare; ,probably lab,SUStainable Approaches for ConTrolling SAprolegnia INfections in Aquaculture (SUSTAIN)
2020-03726_Vinnova,2020,0,aquaculture; land-based fish farm,,Food waste 2
2020-02631_Formas,2021,0,aquaculture; fish feed;  lab study,,Bio-conversion of non-food bio-resources to novel feeds for salmonids - a Nordic approach
2021-02340_Formas,2021,0,seaweed farming; land-based fish farm,,Blue fields for a green future - seaweed as a source of sustainable foods
2020-01990_Formas,2021,0,aquaculture; vaccination; animal welfare,,What are the mechanisms behind negative effects of vaccination on growth in fish?
2019-02096_Formas,2019,0,zebrafish; models; lab study,,Evaluation of zebrafish welfare parameters and establishment of guidelines for zebrafish housing
2020-02636_Formas,2021,3,aquaculture; animal welfare; models; environmental factors,,Machine learning applied to predicting and preventing production loss in aquaculture
2021-02667_Formas,2021,4,fishing; multiple sectors; mapping; fish feed,,Fishingport for the future
2018-00605_Formas,2019,2,fishing; recreational fishing; animal welfare,,Long-term effects of catch & release - key to achieve sustainable recreational fisheries
2018-00775_Formas,2019,5,Baltic Sea; fisheries management; data; diet data; ecosystem models,,Fish interactions in the marine benthic habitat: a knowledge gap in Baltic Sea fish ecology and multispecies fisheries management
2021-04991_Vinnova,2021,0,marine recirculating aquaculture,,Mariculture technical innovations in Sweden (MARTINIS)
2020-00867_Formas,2021,0,marine recirculating aquaculture,,Mariculture Technical Innovations in Sweden (MARTINIS)
2020-01349_Formas,2021,5,migration; tagging; models; data; mortality data; fish; habitat classifiation; fisheries management,,Migratory patterns and productivity potential of juvenile Sea Trout (MAPS)
2018-01201_Formas,2019,0,recirculating aquaculture systems; aquaculture; animal welfare,,Microplastics in the environment: An investigation into how they affect fish and potential risks for the aquaculture industry
2021-04151_Vinnova,2022,0,staff exchange; pollution,,Clean sediment: Knowledge & experience exchange for more efficient remediation of contaminated sediments in Sweden
2020-01128_Formas,2021,4,DNA; fishing; data; diet data; models; Baltic Sea,,Plankton-fish interactions: an understudied link in Baltic Sea food webs and fisheries management
2021-03718_VR,2022,5,field samples; data; Baltic Sea; models,,Drivers and functions of protist parasites in plankton food webs
2022-01536_Formas,2023,0,Arabian Sea; algal blooms,,Improving harmful algal bloom predictions in the Middle East: how submesoscale physics disrupt food and water security.
2021-01067_Formas,2022,0,forest,,Emergent social innovations in rural Sweden and their potential contribution to sustainable rural development
2022-01265_Formas,2023,5,Baltic Sea; zooplankton; arthropods; long-term monitoring data; regulation; Marine Strategy Framework Directive,partly lab,Symbiont-driven disorders in zooplankton reproduction (iCard)
2020-00454_Formas,2020,0,Indonesia,,Inequality and the Biosphere: Achieving the Sustainable Development Goals in an Unequal World
2021-02929_Formas,2022,0,Communication project; Universeum,,One Connected Ocean
2021-02668_Formas,2021,3,water quality; inland and coastal waters; Askrikefjärden; data; models,,Innovation and partnerships for effective programs of measures for good water quality and ecological status – with pilot study for Askrikefjärden
2021-01006_Formas,2022,0,sand; management,,Sand i antropocen: risker och möjligheter för global hållbarhet
2020-05699_VR,2021,5,antibacterial biocides; data; exposure; concentration; management; sustainable transport; database,,BIOCIDE: Antibacterial biocides in the water cycle – an integrated approach to assess and manage risks for antibiotic resistance development
2020-03200_Formas,2021,5,antibacterial biocides; data; exposure; concentration; management; sustainable transport; database,,BIOCIDE: Antibacterial biocides in the water cycle – an integrated approach to assess and manage risks for antibiotic resistance development
2018-01722_VR,2019,0,ethnographic collections,,Objects of Culture and Science
2019-02620_VR,2020,0,prehistoric; skeletal remains,,How to deal with environmental change – the impact of three major environmental events on prehistoric coastal societies and their main prey species
2021-01590_Formas,2022,0,Greenland Ice Sheet,"No, but North Greenland Earth-Ocean-Ecosystem Observatory (GEOEO) sounds like it is!",Sea-level rise contribution from the North Greenland Ice Sheet in a warming climate
2020-01048_Formas,2021,3,marine genetic resources; catalogue genetic sequence data; policy; open data,,The marine biotechnology industry and equitable governance of marine genetic resources
2018-01003_Formas,2019,5,DNA; data; management; occurrence records; species distribution; data; crustaceans; mollusks; Sweden; distribution models,,End biodiversity loss through improved tracking of threatened invertebrates
2021-00153_VR,2022,5,observations; Oden; acoustic mapping; atmospheric observations; water sampling ;  petrography; enviromagnetics; polar; high-quality data; open data;,,The Icebreaker Oden
2021-02639_Formas,2021,5,models; management; marine data; data loggers; sailing drones; autonomous monitoring,,Innovative technology for sustainable management of complex marine ecosystems
2018-04685_VR,2019,0,Arctic Ocean; metagenomic mapping,,Uncovering the seasonality of sympagic and pelagic microbiomes and their metabolic functions in the Central Arctic Ocean with emphasis on carbon and nitrogen cycling
P49308-1_Energi,2020,0,ship operations; fleet operation center; ,,Fleet Operation Center as a Service
2019-01649_Formas,2020,5,Baltic Sea; Atlantic Ocean; Atlantic salmon; scale samples; DNA,some experimental;  två parallella projekt SeaSalar & Formas 2017-00669,Effects of growth and genotype on life history variation in Altantic salmon - SalmonLife
2019-00242_VR,2021,5,biodiversity data; FAIR principles; open science; near-real-time; data mobilization; systematic monitoring ; biotelemetry; ,Infrastructure; maybe out of scope!,Swedish Biodiversity Data Infrastructure
2023-03771_VR,2024,0,Cambrian; trilobites; fossils,,The Cambrian ´explosion´ of trilobites: revealing the drivers behind an iconic early animal radiation
2020-03423_VR,2021,0,ancient; fossils; dinosour,,Scandinavia’s Arctic Age of Dinosaurs as a research and geoheritage resource
2022-03112_Vinnova,2022,0,recreational boating; industry; manufacturing; seminars,,Enhancing Competence for Future Sustainable MarINE iNdusTry: Material Selection (EMINENT 1/2)
2020-01071_Formas,2021,5,Diadromous fish; Baltic Sea; fish abundance; fieldwork data; management,,COAST-LAND - Connectivity between inland waters and coastal habitats: effects and feedbacks of anthropogenic pressures and climate change
2021-02658_Formas,2021,5,marine data; Sweden; ERDDAP; FAIR; open science,SND was project partner!,Towards coordinating national marine research data for universal interoperability
2022-01785_Formas,2022,5,seahorses; pipefish; European; population; marine protected areas; collect data,,"Promoting action on broad ocean challenges by delving into the past, present and future of European syngnathids"
2019-04061_VR,2020,0,Triassic; extinction; fossils,,"THE TRIASSIC PARK – EXTINCTION, AND EXCEPTIONAL PRESERVATION"
P2018-90110_Energi,2019,5,offshore wind; wind power; Baltic Sea; models; wind resource calculations,,Meteorological effects on the offshore wind resource – forecasting and climatology
2019-00310_Formas,2020,5,regime shift; Baltic Sea; ecological data; environmental data; models; management,,Spatially cascading regime shifts – using network theory to understand and reverse the ‘stickleback wave’
P2018-90050_Energi,2019,0,power production; Baltic Sea; forest; rotor models; blades,,Wind turbines in Swedish conditions - optimization of loads and power production
2021-04962_VR,2022,4,Cryosphere; Submarine groundwater discharge; Baltic Sea;  Norwegian Sea;  Arctic Ocean; Geochemical analysis; sediment samples,,Cryosphere-driven submarine groundwater discharge in the Arctic
P2020-90278_Energi,2021,3,wind turbines; field data; Baltic Sea;  Kattegatt,,Influence of Wind-Wave Interaction on the Blockage Effect for Offshore Wind Farms
2020-01703_Formas,2021,3,contaminated sediments;  biological testing; identification of toxicants,,BalticSed: Towards a non-toxic Baltic Sea - virtual effect-directed analysis and a non-destructive decontamination method
2018-01219_Formas,2019,3,Fiberbanks; remediation techniques ,,Environmental impact of gas ebullition in fiberbank sediments –flux measurements and X-ray tomography for improved remediation strategies.
2022-01044_Formas,2023,5,seabed mining; Baltic Sea; biodiversity; empirical data; regulation,,What are the environmental risks associated with seabed mining for rare earth elements in the Baltic Sea? Quantifying impacts on benthic biodiversity and ecosystem processes
2018-04979_VR,2019,5,benthic boundary layer; microbial activity data; microbial ecology; mass fluxes data; open data,Was anything published??,The critical role of the turbulent benthic boundary layer for greenhouse gas and nutrient biogeochemistry: Novel in-situ measurements and insights from tracer incubation experiments
2022-01401_Formas,2023,5,Marine sediments; trawling; field experiments; field measurements; models; Baltic Sea; management,,Effects of bottom trawling on linked ecological-biogeochemical processes: regional implications for marine management and climate mitigation
2019-00588_Formas,2020,5,phytoplankton;primary production; Gulf of Bothnia; Baltic Sea; monitoring data; inflow; terrestrial organic matter; amphipods; fish; models,,Effects of browning of coastal waters on marine food web function and quality
2018-00761_Formas,2019,5,eutrophication; management; fish stocks; organic matter; field studies; models; ,,Spatially differentiated strategies for coastal management of fish community structure and eutrophication symptoms
56/2019_OS,2020,0,Mercury;gut bacteria ;  lab study;,Lab study,Bacteria-driven Hg methylation in microbiome of lower consumers
2018-05213_VR,2019,5,algal blooms; Baltic Sea; environmental data; field studies,,Ecological significance of hepatotoxin biodegradation: towards understanding adaptations to harmful blooms
21-RN-0002_OS,2021,0,Holocaust ,,History and Memory of the Holocaust and Romani genocide in a Comparative International Perspective
2022-02762_Formas,2023,0,crops,,Upscaling crop performance monitoring by linking satellite and field biosignatures (UPSCALE)
2019-00388_Formas,2020,5,marine snow; microplastics; diatom blooms; field studies,,Marine snow as a vector in microplastic transport and degradation
2019-02368_Formas,2020,5,Oceans; conflict resolution,Relevant but not data,OCEAN Sustainability Pathways for Achieving Conflict Transformation (OCEANS PACT)
36/2018_OS,2019,0,Bears,,Bear traces
P19-0740:1_RJ,2020,0,prehistoric; radio-carbon dating,,"Gotland in the 3rd millennium BC. Archaeogenetics, archaeology and cultural diversity"
21-PR2-0020_OS,2022,0,policy,,Authoritarian Policy Transfer in Post-Soviet States
22-PR2-0023_OS,2023,5,mediating technologies; surveillance; transportation;  sustainability; Baltic Sea,Relevant but not data,A Sea of Data: Mediated temporalities of the Baltic Sea
S2-20-0002_OS,2021,0,Post-Communist,,Multiscalar Ethnic Intermediation in Post-Communist Eastern Europe
52/2018_OS,2019,0,tick borne diseases,,Human-environment interactions and the epidemiological periurban landscape of tick-borne diseases
2022-01610_Formas,2023,5,Blue mussels; benthic; population; farmed mussels; population,,"Blue mussels in natural and artificial habitats: ecological, genetic and managerial consequences of interactions among subpopulations"
2019-00407_Formas,2020,5,European flat oyster; genetic diversity; mapping,,A long-term plan for management of a unique marine resource – Genetic status and future threats to the last natural stock of the European flat oyster (Ostrea edulis)
2022-01515_Formas,2023,5,plankton ; DNA metabarcoding;  image analysis; imaging data ; Svea; Baltic Sea; Kattegatt; Skagerrak,,AMIME: Artificial intelligence-assisted plankton Monitoring with Imaging flow cytometry and MEtabarcoding
2022-02806_Formas,2023,5,Baltic Sea cod; Baltic Sea; otoliths; field metabolic rate data; geostatistical models,,Revealing physiological stress from climate change in Baltic Sea cod using a new metabolic index based on otolith stable carbon isotope analysis
2021-00550_Formas,2022,5,maerl beds; distribution; eDNA,,Fantastic maerl and where to find it- a comprehensive assessment of the occurrence and importance of Sweden´s hidden marine biogenic reefs
2022-02034_Formas,2022,4,biodiversity assessment; DNA sequencing; marine food web,,Next generation metabarcoding for environmental och dietary DNA
2019-02169_Formas,2020,5,field program; plastics; Kattegatt; sediment surveys,,Fluxes and fate of microplastics in Norhern European Waters - FACTS
2022-01768_Formas,2022,5,species dispersal; models; ocean models; marine traffic data,,CLIMATE INVASIVES -Minimizing the negative effects of climate change-induced spread of invasive alien species to marine protected areas
2019-01299_Formas,2020,0,eco-certification; producer,,The effects of eco-certification
2019-04038_VR,2020,0,blue carbon sequestration; Tanzania,,Climate mitigation services of coastal seascapes: providing guidance for sustainable management of hotspots for blue carbon sequestration in tropical developing countries
2018-03695_VR,2019,3,inversion polymorphism; marine snail; genomics,,The contribution of inversion polymorphism to local adaptation and speciation
2020-01258_Formas,2021,0,Biofouling,,developmeNt of lignin-bAsed eco-friendly anTifoUling coatings for maRine AppLications (NATURAL)
2020-00457_VR,2021,3,blue carbon habitat,,Resolving the missing carbon sink in blue carbon ecosystems: Oceanic outwelling
2022-00990_Formas,2023,5,Marine protected areas ; species distribution; models,,Sustaining marine biodiversity under climate change: Spatial planning to maximise the future connectivity of the Baltic Sea marine protected area network
2022-00674_Formas,2023,0,ecosystem services; tropical coral reefs,,Equitable access to ecosystem services in coral reef social-ecological networks
P2019-90131_Energi,2020,4,wave energy; simulations,,Uncertainty analysis of numerical wave energy simulations IEA OES Task 10
2022-01639_Formas,2023,4,seaweed; Swedish West coast; multiple actors,,Will ocean acidification cause a large-scale loss of habitat-forming brown seaweeds?
2021-04202_Vinnova,2021,0,planning; marine materials ; ,,Competence Center Marine Materials (CCMM)
P48358-1_Energi,2019,0,ship fuels; ,,Sulfur-Free MARine LIgnin FuEls (SMARt LIFE)
2022-01709_Formas,2022,5,Sponges ; Atlantic Ocean;  Mediterranean Sea; sponges; data; DNA barcodes,,Marine sponge biodiversity from genes to ecosystems: delivering knowledge and tools for sustainable management and conservation
2021-01870_Vinnova,2021,0,cellulose-based material,,CelluPac Upscaling
2023-01176_Forte,2023,0,The Museum of Work,,Places of Work – changes today and yesterday
2021-00568_Vinnova,2021,4,marine structures; image analysis; ,,AI-Assisted Maintenance and Condition Assessment of Submerged Infrastructure
2021-02660_Formas,2021,4,Underwater noise pollution; ,,"Underwater noise from fairways – policies, incitaments and governance to reduce the environmental impact"
2019-01047_Formas,2020,3,Baltic Sea; assessment tool,,When the sum is unknown - a concrete approach to disentangle multiple driver impacts on the Baltic Sea ecosystem
2019-03731_VR,2020,0,fossils,,Molecular analyses of fossil soft tissue with imaging mass spectrometry
2019-02200_VR,2019,0,performing arts ,,"Staging Migration: Rhetoric, Representation, and Reception in Swedish Children´s Theater"
2019-00961_Formas,2020,2,beach litter; ,,From beach litter to microplastic pollution: Fragmentation and fate of plastic litter on beaches and in nearshore ecosystems
2021-04055_VR,2022,2,Endosymbiosis; genomics,,Identifying a new marine endosymbiosis as a model to study the origin of plastids
2022-03686_VR,2023,2,nitrous oxide; experimental investigation,,"Nitrous oxide cycling in oxygen-depleted marine waters:  pathways, controls and dynamics"
2019-02257_VR,2020,0,artistic research; Congo,,Reframing the encounter: From repressed colonial pile to a collaborative decolonial counter-archive
P52333-1_Energi,2021,4,exploration of marine energy; ocean current models,,AI in the deep - Exploration for energy from ocean currents
2021-01561_Formas,2022,5,underwater noise pollution; Field trials; source models;  study area,,Environmental Impact of underwater noise from leisure boats - quantifying impact and estimating efficiency of measures
2018-00682_Formas,2019,4,seagrass; ecosystem resilience; future climate scenarios,,Does higher within-species diversity increase resilience of seagrass beds to fluctuating future marine climates?
2018-00509_Formas,2019,0,Arctic Ocean; microbiomes ,,"How warming of the Central Arctic Ocean changes the metabolic functions of sympagic and pelagic microbiomes, with emphasis on carbon and nitrogen cycling"
2019-02378_Formas,2020,3,ocean management ; case studies,unclear where,Negotiating Ocean Conflicts among RIvals for Sustainable and Equitable Solutions (NOCRISES)
P51553-1_Energi,2020,0,wind-powered vessels; wind tunnel,,High-accuracy flow field measurements around an array of wings for sail-powered vessels
2019-05238_VR,2020,0,marine plankton; signalling compounds,,Lipid signals in the sea
2018-04161_VR,2019,0,plankton; Enzyme efficiency,,Identifying function and fitness of proteins required for Nitrogen and Carbon transfer in an open ocean symbiotic cyanobacterium by expression in heterologous systems
2019-00906_Vinnova,2019,5,autonomous monitoring; marine species;  information system,,Autonomous monitoring system for marine invasive species
2022-04710_VR,2023,2,nitrous oxide; methane; fjords ,,High-resolution spatiotemporal dynamics of nitrous oxide and methane in fjords under global change
2019-02362_Formas,2020,2,chitin ; collagen,,Commercial exploitation of marine collagen and chitin from marine sources (BlueCC)
2020-03423_Vinnova,2020,0,market strategy; OEM market,,"Development of prototype, customer relationships and scalable business strategy based on step 1 insights"
2020-05385_VR,2021,2,species diversity; marine snail; gene expression,,Ecological systems biology: disentangling the molecular mechanisms of parallel evolution
2023-00004_Formas,2023,5,Nord Stream Explosion; measurements,,Nord Stream Explosion – Where Did the Methane Go?
2022-01611_Formas,2023,0,Suez Canal,,The environmental afterlife of the Suez Canal: Marine species transformation and biodiversity in the Mediterranean Sea
2020-05690_VR,2021,0,antibiotic resistance; lab study,,PROBING ANTIBIOTIC RESIDUES AND RESISTANCE TRANSFER IN AQUATIC ENVIRONMENTS (PARRTAE)
2018-03873_VR,2019,0,geometry; microbe ecology,,Geometric analysis and applications to microbe ecology
2020-02304_Formas,2021,5,shallow coastal areas; methane emissions; bacteria; sediment samples,,"Can lower activity of sediment aerobic methanotrophs explain why coastal areas are hotpots for marine methane emissions? The role of animal-bacteria interactions, light and other abiotic drivers"
2019-04712_Vinnova,2019,0,planstic as a raw material; ,,Testbed ocean waste
2019-02176_Formas,2020,3,microplastics; measurements; samples,unclear where,RESPONSE - Toward a Risk-based assessment of microplastic pollution in marine ecosystems
2018-05925_VR,2019,0,fishing; Thailand,not clear how study will be conducted,Sustaining fish and fishworkers? Human rights for migrant Burmese fishworkers in the EU-initiated sustainable fisheries reform in Thailand
2018-01031_Formas,2019,3,Mercury ; Baltic Sea,,Deciphering processes controlling the methylmercury burden in oxygen deficient coastal seas
2019-01157_Formas,2020,5,amphipods ; Baltic Sea ; monitoring,,AmphiDNA: Can amphipod DNA tell us about Baltic Sea health?
2020-05025_VR,2021,0,sea spray; Atlantic Ocean,,Closing the gap between properties of fresh sea spray aerosol and aerosol observed in the marine boundary layer
2022-03110_Vinnova,2022,0,leisure boats; plastics,,Enhancing competence for future Sustainable MarINE indusTry: Manufacturing system (EMINENT 2/2)
2023-02397_Vinnova,2023,2,carbon sequistration; algae; bamboo; tests,,Arbon Earth
2019-02391_Formas,2020,5,ocean multi-use; open source tools; assessment results; tools,,Assessment framework for successful development of viable ocean multi-use systems MULTI-FRAME
2022-00549_Formas,2023,3,fiberbanks,,Greenhouse gas (GHG) production in Swedish fiberbanks – combining GHG measurements and microbial analysis for improved assessment (FIB-GHG)
2022-02830_Formas,2023,3,Arctic systems; basal production; ,,Terrestrial freshwater inputs threaten coastal resource quality
2022-00637_Vinnova,2022,2,combustion engines ,,MeBust-Me
2021-01605_Vinnova,2021,2,Derelict fishing gear ; management ,,Find Me
2023-01875_Vinnova,2023,0,water management,,WANDA-Water ANomaly Detection Application
2019-02256_Vinnova,2019,5,national marine data lab,,Ocean Data Factory
2023-03206_Vinnova,2023,0,waste,,"Re-using carbon composites waste and cut-offs in high performance applications, “PRIMEwaste”"
2019-02630_Vinnova,2019,0,transmission components,,Driveline components for electrified powertrains
2022-00389_VR,2022,0,Cephalopods; Massachusetts,,Environmental acclimation in the cephalopod nervous system through RNA editing
2023-00348_Formas,2023,4,Eelgrass; map; restoration,,"Ramverk för storskalig, klimatanpassad ålgräsrestaurering för biologisk mångfald i kustekosystemen"
2019-02349_Formas,2020,1,seaweed; materials ,,Seaweeds for Novel Applications and Products (SNAP)
2022-01737_Formas,2022,5,Baltic Sea; chemical pollution; risk assessment; tools,,New approaches in determining the impacts of chemical pollution to protect the biodiversity of the Baltic Sea
2023-05743_VR,2023,0,Southeast Asia; fish workers,,Tracing the double negative: Marine ecologies and worker precarity in Southeast Asian trash fish supply chains
2023-00100_Vinnova,2023,0,adaptive manufacturing,,E!2333 PKM-ADAM
2018-01144_Formas,2019,5,mercury ; Swedish West Coast; measure; models,,Novel long-term stationary measurements of mercury fluxes at the Swedish west coast – Study of seasonal variations and modeled atmospheric dispersion
46/2018_OS,2019,0,Marine Spatial Planning; ,,Taking Social Sustainability to the Sea: Strengthening the Social Pillar in Marine Spatial Planning
42/2019_OS,2020,3,diatom; ancient ; diatom evolution,,REVIVE - Genomic signatures of diatom evolution on revived diatoms from natural archives
2020-01842_Vinnova,2020,1,VA; ,,Future City Water
2021-04043_Vinnova,2021,0,coatings ,,Coatings for Enhanced Functionality of Light Alloys
2020-02366_Formas,2020,5,bacterioplankton ; species distribution,,Pathogenic Vibrio bacteria in the current and future Baltic Sea waters: mitigating the problem (BaltVib)
2023-01968_Formas,2023,0,fisheries; biorefinery,,Sustainable use of marine resources for high value end products: Realization of a blue biorefinery in Sweden (MAREFINE)
P47395-1_Energi,2019,3,installation and maintenance,,Installation and maintenance methods of marine energy converters.
2023-03254_Vinnova,2023,2,Guleskär,,Guleskär System Demonstrator for Circular Economy and National Resilience
2022-03811_Vinnova,2023,0,natural fibers; ,,Going Green with Graphene
2022-02892_VR,2023,0,Last Glacial-Interglacial Transition; tephra ,,Tephrochronology of Sweden – tying the bag together
2019-02623_Vinnova,2019,0,composites,,Lighter through surface protection - LightSURF
2022-01778_Formas,2022,0,biodiversity ; environmental histories,,Biodiversity dilemmas in ordinary places (BIOrdinary)
2021-04400_VR,2022,0,acidification ; lab study,,Physiological and Biomechanical Mechanisms Underlying Transgenerational Responses of Schooling Fish to Ocean Acidification
2020-03200_VR,2021,0,Fan worm eyes ; visual circuits,,Building a visual system from scratch: The evolution and functional development of fan worm radiolar eyes.
2023-03255_Vinnova,2023,0,hydrogen system,,GotH2-system
2021-04512_VR,2022,0,North Greenland ,,Ice retreat dynamics across northern Greenland: Extreme or business as usual?
2018-00613_Formas,2019,0,insecticides ,,Sustainable bioinsecticides from marine toxins
P2019-90004_Energi,2020,0,wave power; ,,Development and evaluation of a durable winch based approach for wave power
2018-01398_Formas,2019,0,Arctic Ocean; carbon budget; observations,,Drivers of anthropogenic changes in carbon storage and ocean acidification in the new Arctic Ocean (DRACO2)
2021-00178_Vinnova,2021,0,seafood products; market research,,Blue proteins
2021-00607_Vinnova,2021,0,wave energy; business model,,WaveMove Wave Energy Converter
2019-02348_Formas,2020,0,bioplastics ; ,,Novel enhanced bioplastics from sustainable processing of seaweed (PlastiSea)
2018-04255_VR,2019,5,Sea spray aerosols; cruise; Baltic Sea,,"Characterising properties of Climate Relevant Organic and Inorganic Sea-Spray-aerosols, Sources and Air-sea-exchange causing their Net-emission (CROISSANT)"
2022-01170_Vinnova,2022,0,Lithium-ion battery,,Swedish participation in the M-ERA.NET initiated project GREEN-BAT
